"Location","Type","BatterAction","Outcome","Probability"
"Bottom","Fastball","Swing","Ball",0
"Bottom","Fastball","Swing","Double",0.05
"Bottom","Fastball","Swing","HR",0.07
"Bottom","Fastball","Swing","Out",0.36
"Bottom","Fastball","Swing","Single",0.15
"Bottom","Fastball","Swing","Strike",0.36
"Bottom","Fastball","Swing","Triple",0.01
"Bottom","Fastball","Take","Ball",0.07
"Bottom","Fastball","Take","Double",0
"Bottom","Fastball","Take","HR",0
"Bottom","Fastball","Take","Out",0
"Bottom","Fastball","Take","Single",0
"Bottom","Fastball","Take","Strike",0.93
"Bottom","Fastball","Take","Triple",0
"Chase","Fastball","Swing","Ball",0
"Chase","Fastball","Swing","Double",0.02
"Chase","Fastball","Swing","HR",0.017
"Chase","Fastball","Swing","Out",0.17
"Chase","Fastball","Swing","Single",0.07
"Chase","Fastball","Swing","Strike",0.72
"Chase","Fastball","Swing","Triple",0.003
"Chase","Fastball","Take","Ball",0.9
"Chase","Fastball","Take","Double",0
"Chase","Fastball","Take","HR",0
"Chase","Fastball","Take","Out",0
"Chase","Fastball","Take","Single",0
"Chase","Fastball","Take","Strike",0.1
"Chase","Fastball","Take","Triple",0
"Middle","Fastball","Swing","Ball",0
"Middle","Fastball","Swing","Double",0.06
"Middle","Fastball","Swing","HR",0.07
"Middle","Fastball","Swing","Out",0.36
"Middle","Fastball","Swing","Single",0.16
"Middle","Fastball","Swing","Strike",0.34
"Middle","Fastball","Swing","Triple",0.01
"Middle","Fastball","Take","Ball",0.03
"Middle","Fastball","Take","Double",0
"Middle","Fastball","Take","HR",0
"Middle","Fastball","Take","Out",0
"Middle","Fastball","Take","Single",0
"Middle","Fastball","Take","Strike",0.97
"Middle","Fastball","Take","Triple",0
"Top","Fastball","Swing","Ball",0
"Top","Fastball","Swing","Double",0.025
"Top","Fastball","Swing","HR",0.04
"Top","Fastball","Swing","Out",0.19
"Top","Fastball","Swing","Single",0.08
"Top","Fastball","Swing","Strike",0.66
"Top","Fastball","Swing","Triple",0.005
"Top","Fastball","Take","Ball",0.26
"Top","Fastball","Take","Double",0
"Top","Fastball","Take","HR",0
"Top","Fastball","Take","Out",0
"Top","Fastball","Take","Single",0
"Top","Fastball","Take","Strike",0.74
"Top","Fastball","Take","Triple",0
"Bottom","Offspeed","Swing","Ball",0
"Bottom","Offspeed","Swing","Double",0.018
"Bottom","Offspeed","Swing","HR",0.01
"Bottom","Offspeed","Swing","Out",0.31
"Bottom","Offspeed","Swing","Single",0.06
"Bottom","Offspeed","Swing","Strike",0.6
"Bottom","Offspeed","Swing","Triple",0.002
"Bottom","Offspeed","Take","Ball",0.5
"Bottom","Offspeed","Take","Double",0
"Bottom","Offspeed","Take","HR",0
"Bottom","Offspeed","Take","Out",0
"Bottom","Offspeed","Take","Single",0
"Bottom","Offspeed","Take","Strike",0.5
"Bottom","Offspeed","Take","Triple",0
"Chase","Offspeed","Swing","Ball",0
"Chase","Offspeed","Swing","Double",0.008
"Chase","Offspeed","Swing","HR",0
"Chase","Offspeed","Swing","Out",0.14
"Chase","Offspeed","Swing","Single",0.05
"Chase","Offspeed","Swing","Strike",0.8
"Chase","Offspeed","Swing","Triple",0.002
"Chase","Offspeed","Take","Ball",0.93
"Chase","Offspeed","Take","Double",0
"Chase","Offspeed","Take","HR",0
"Chase","Offspeed","Take","Out",0
"Chase","Offspeed","Take","Single",0
"Chase","Offspeed","Take","Strike",0.07
"Chase","Offspeed","Take","Triple",0
"Middle","Offspeed","Swing","Ball",0
"Middle","Offspeed","Swing","Double",0.05
"Middle","Offspeed","Swing","HR",0.045
"Middle","Offspeed","Swing","Out",0.34
"Middle","Offspeed","Swing","Single",0.14
"Middle","Offspeed","Swing","Strike",0.42
"Middle","Offspeed","Swing","Triple",0.005
"Middle","Offspeed","Take","Ball",0.05
"Middle","Offspeed","Take","Double",0
"Middle","Offspeed","Take","HR",0
"Middle","Offspeed","Take","Out",0
"Middle","Offspeed","Take","Single",0
"Middle","Offspeed","Take","Strike",0.95
"Middle","Offspeed","Take","Triple",0
"Top","Offspeed","Swing","Ball",0
"Top","Offspeed","Swing","Double",0.03
"Top","Offspeed","Swing","HR",0.035
"Top","Offspeed","Swing","Out",0.22
"Top","Offspeed","Swing","Single",0.09
"Top","Offspeed","Swing","Strike",0.62
"Top","Offspeed","Swing","Triple",0.005
"Top","Offspeed","Take","Ball",0.32
"Top","Offspeed","Take","Double",0
"Top","Offspeed","Take","HR",0
"Top","Offspeed","Take","Out",0
"Top","Offspeed","Take","Single",0
"Top","Offspeed","Take","Strike",0.68
"Top","Offspeed","Take","Triple",0
