scenario_id,epsilon,trial,mode,game_value,value_delta_from_baseline,utility_l2_delta,payoff_matrix_l2_delta,batter_max_behavioural_delta_from_baseline,pitcher_max_behavioural_delta_from_baseline,primal_solver_message,dual_solver_message
1,0.0,0,range_scaled,-0.16545226894307696,0.0,0.0,0.0,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
2,0.01,0,range_scaled,-0.16130201299104438,0.004150255952032583,0.6434638355620304,0.0851322655178906,1.0,0.9006971941593078,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
3,0.01,1,range_scaled,-0.16903681933379408,-0.0035845503907171172,0.6670537301402484,0.07970728121255216,1.0,0.8331429766919344,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
4,0.01,2,range_scaled,-0.16889507000163295,-0.0034428010585559887,0.653269095125268,0.06754361156282047,1.0,0.875,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
5,0.01,3,range_scaled,-0.1692991748794656,-0.003846905936388645,0.6438153797202056,0.06683917697004721,0.8317295052344474,0.8940225925312291,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
6,0.01,4,range_scaled,-0.16434236237583408,0.0011099065672428854,0.6613273154228272,0.08414270629493245,0.7797230890437469,0.924822434774767,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
7,0.01,5,range_scaled,-0.162617556894557,0.002834712048519955,0.6413644945936291,0.07049150230807044,0.513041170613597,0.9625180703948404,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
8,0.01,6,range_scaled,-0.16928027193484105,-0.0038280029917640845,0.6606892652317156,0.07741910437404236,1.0,0.875,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
9,0.01,7,range_scaled,-0.17348737291958785,-0.008035103976510888,0.6531329712031329,0.07554690799572826,1.0,0.8884519618607909,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
10,0.01,8,range_scaled,-0.1567511957754119,0.008701073167665052,0.6530391926982787,0.07498249884209914,1.0,0.9874709396139637,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
